F8B3DD80-DBA7-FE75-3168-01C4AEF8A6D1_time (s),F8B3DD80-DBA7-FE75-3168-01C4AEF8A6D1_raw_resistance
0.0,2.0530973451327434
0.02,2.0530973451327434
0.02,2.0645569620253164
0.02,2.0530973451327434
0.03,2.0645569620253164
0.03,2.0645569620253164
0.03,2.0416666666666665
0.05,2.0530973451327434
0.05,2.0645569620253164
0.05,2.0530973451327434
0.06,2.0645569620253164
0.06,2.0645569620253164
0.06,2.0530973451327434
0.08,2.0416666666666665
0.08,2.0530973451327434
0.08,2.0645569620253164
0.09,2.0416666666666665
0.09,2.0416666666666665
0.09,2.030264817150063
0.11,2.0530973451327434
0.11,2.0416666666666665
0.11,2.030264817150063
0.12,2.0530973451327434
0.12,2.0530973451327434
0.12,2.0530973451327434
0.139,2.0645569620253164
0.139,2.0530973451327434
0.139,2.030264817150063
0.149,2.0188916876574305
0.149,2.076045627376426
0.149,2.0416666666666665
0.169,2.0416666666666665
0.169,2.0416666666666665
0.169,2.030264817150063
0.179,2.0530973451327434
0.179,2.0530973451327434
0.179,2.0645569620253164
0.195,2.0530973451327434
0.195,2.0645569620253164
0.196,2.0645569620253164
0.215,2.0530973451327434
0.215,2.0416666666666665
0.215,2.0188916876574305
0.225,2.0645569620253164
0.225,2.0530973451327434
0.225,2.0530973451327434
0.245,2.0416666666666665
0.245,2.0530973451327434
0.245,2.0530973451327434
0.255,2.0530973451327434
0.255,2.076045627376426
0.255,2.0530973451327434
0.275,2.0530973451327434
0.275,2.0416666666666665
0.275,2.030264817150063
0.285,2.0416666666666665
0.285,2.0416666666666665
0.285,2.0530973451327434
0.305,2.0645569620253164
0.305,2.0416666666666665
0.305,2.0645569620253164
0.315,2.0645569620253164
0.315,2.0530973451327434
0.315,2.030264817150063
0.335,2.0645569620253164
0.335,2.076045627376426
0.335,2.0416666666666665
0.345,2.0416666666666665
0.345,2.0188916876574305
0.345,2.0530973451327434
0.36,2.0416666666666665
0.36,2.0188916876574305
0.361,2.0530973451327434
0.38,2.030264817150063
0.38,2.0645569620253164
0.38,2.0416666666666665
0.39,2.0530973451327434
0.39,2.030264817150063
0.39,2.0530973451327434
0.41,2.0416666666666665
0.41,2.0416666666666665
0.41,2.0416666666666665
0.42,2.030264817150063
0.42,2.0530973451327434
0.42,2.0530973451327434
0.44,2.076045627376426
0.44,2.0645569620253164
0.44,2.0530973451327434
0.45,2.030264817150063
0.45,2.0645569620253164
0.45,2.0530973451327434
0.465,2.0530973451327434
0.465,2.076045627376426
0.465,2.0530973451327434
0.485,2.0530973451327434
0.485,2.0188916876574305
0.485,2.0530973451327434
0.498,2.076045627376426
0.498,2.0530973451327434
0.498,2.0530973451327434
0.518,2.0645569620253164
0.518,2.0530973451327434
0.518,2.030264817150063
0.524,2.076045627376426
0.545,2.030264817150063
0.545,2.0530973451327434
0.545,2.0416666666666665
0.575,2.0530973451327434
0.575,2.0530973451327434
0.575,2.0645569620253164
0.585,2.0645569620253164
0.585,2.0645569620253164
0.585,2.0530973451327434
0.604,2.0416666666666665
0.604,2.0645569620253164
0.604,2.0530973451327434
0.614,2.0530973451327434
0.614,2.0188916876574305
0.614,2.0645569620253164
0.634,2.0530973451327434
0.634,2.0416666666666665
0.634,2.0530973451327434
0.644,2.0530973451327434
0.644,2.0645569620253164
0.644,2.0645569620253164
0.664,2.0530973451327434
0.664,2.030264817150063
0.664,2.0530973451327434
0.674,2.0530973451327434
0.695,2.0530973451327434
0.695,2.0530973451327434
0.695,2.076045627376426
0.705,2.0645569620253164
0.705,2.0645569620253164
0.705,2.0530973451327434
0.725,2.0645569620253164
0.725,2.0645569620253164
0.725,2.030264817150063
0.735,2.0530973451327434
0.735,2.0416666666666665
0.75,2.076045627376426
0.75,2.0645569620253164
0.75,2.0875634517766497
0.77,2.099110546378653
0.77,2.122292993630573
0.77,2.0875634517766497
0.783,2.1106870229007635
0.783,2.099110546378653
0.783,2.099110546378653
0.803,2.122292993630573
0.803,2.1455938697318007
0.803,2.1339285714285716
0.809,2.1106870229007635
0.826,2.2162162162162162
0.826,2.157289002557545
0.826,2.1925545571245184
0.846,2.263906856403622
0.846,2.251937984496124
0.846,2.251937984496124
0.856,2.251937984496124
0.856,2.251937984496124
0.856,2.2759067357512954
0.876,2.263906856403622
0.876,2.3120936280884266
0.876,2.2759067357512954
0.886,2.3
0.886,2.3363754889178616
0.886,2.3120936280884266
0.906,2.2879377431906613
0.906,2.2879377431906613
0.906,2.2879377431906613
0.916,2.2759067357512954
0.916,2.3
0.916,2.3120936280884266
0.931,2.2879377431906613
0.931,2.263906856403622
0.931,2.2879377431906613
0.947,2.3
0.947,2.3
0.947,2.3363754889178616
0.963,2.3363754889178616
0.963,2.3363754889178616
0.963,2.348563968668407
0.983,2.3607843137254902
0.983,2.3363754889178616
0.983,2.3363754889178616
0.992,2.3607843137254902
1.005,2.348563968668407
1.005,2.3607843137254902
1.006,2.3730366492146597
1.025,2.385321100917431
1.025,2.3363754889178616
1.025,2.3730366492146597
1.042,2.385321100917431
1.042,2.385321100917431
1.042,2.3607843137254902
1.049,2.385321100917431
1.07,2.4347826086956523
1.07,2.4472295514511875
1.07,2.4223684210526315
1.08,2.409986859395532
1.08,2.4472295514511875
1.08,2.4597093791281375
1.1,2.4722222222222223
1.1,2.4472295514511875
1.1,2.48476821192053
1.11,2.4597093791281375
1.11,2.4722222222222223
1.11,2.4973474801061006
1.13,2.50996015936255
1.13,2.548
1.13,2.5352862849533953
1.14,2.548
1.14,2.573529411764706
1.14,2.5352862849533953
1.16,2.6639676113360324
1.16,2.650943396226415
1.16,2.650943396226415
1.17,2.716417910447761
1.17,2.729619565217391
1.17,2.703252032520325
1.19,2.8636363636363638
1.19,2.8636363636363638
1.19,2.8500687757909215
1.2,2.8636363636363638
1.2,2.8772413793103446
1.2,2.8636363636363638
1.22,2.9596662030598053
1.22,2.9458333333333333
1.22,2.9735376044568245
1.23,3.0153846153846153
1.23,3.0294117647058822
1.23,2.9596662030598053
1.245,3.057584269662921
1.245,3.057584269662921
1.245,3.143059490084986
1.265,3.200854700854701
1.265,3.200854700854701
1.265,3.200854700854701
1.275,3.2154065620542083
1.275,3.171875
1.275,3.23
1.295,3.378260869565217
1.295,3.3632416787264834
1.295,3.378260869565217
1.305,3.423580786026201
1.305,3.378260869565217
1.305,3.454014598540146
1.325,3.515418502202643
1.325,3.4846266471449487
1.325,3.515418502202643
1.335,3.515418502202643
1.335,3.561946902654867
1.335,3.5308823529411764
1.353,3.5308823529411764
1.353,3.5463917525773194
1.353,3.5463917525773194
1.373,3.438775510204082
1.373,3.469298245614035
1.373,3.454014598540146
1.382,3.438775510204082
1.395,3.3632416787264834
1.396,3.348265895953757
1.396,3.288793103448276
1.416,3.303597122302158
1.416,3.27403156384505
1.416,3.27403156384505
1.445,3.23
1.445,3.23
1.445,3.200854700854701
1.455,3.114406779661017
1.455,3.157446808510638
1.455,3.128712871287129
1.475,3.0859154929577466
1.475,3.057584269662921
1.475,3.0294117647058822
1.485,2.9320388349514563
1.485,2.9320388349514563
1.485,2.9596662030598053
1.5,2.8500687757909215
1.5,2.8365384615384617
1.5,2.8636363636363638
1.52,2.742857142857143
1.52,2.7694406548431103
1.52,2.742857142857143
1.53,2.703252032520325
1.53,2.729619565217391
1.53,2.729619565217391
1.55,2.677027027027027
1.562,2.625
1.562,2.6120805369127518
1.562,2.650943396226415
1.582,2.6379542395693134
1.582,2.6379542395693134
1.582,2.625
1.592,2.5352862849533953
1.592,2.5863453815261046
1.592,2.5863453815261046
1.612,2.573529411764706
1.612,2.573529411764706
1.612,2.560747663551402
1.622,2.573529411764706
1.622,2.560747663551402
1.622,2.573529411764706
1.637,2.599195710455764
1.637,2.5863453815261046
1.637,2.548
1.656,2.548
1.656,2.560747663551402
1.656,2.5863453815261046
1.666,2.560747663551402
1.666,2.573529411764706
1.666,2.5863453815261046
1.684,2.548
1.684,2.6120805369127518
1.684,2.599195710455764
1.698,2.5863453815261046
1.698,2.599195710455764
1.698,2.5863453815261046
1.717,2.5226063829787235
1.717,2.4973474801061006
1.717,2.50996015936255
1.727,2.50996015936255
1.727,2.48476821192053
1.727,2.50996015936255
1.747,2.4722222222222223
1.747,2.4722222222222223
1.747,2.48476821192053
1.757,2.4472295514511875
1.757,2.48476821192053
1.757,2.4722222222222223
1.777,2.48476821192053
1.777,2.48476821192053
1.777,2.48476821192053
1.787,2.4973474801061006
1.787,2.50996015936255
1.787,2.48476821192053
1.807,2.4973474801061006
1.807,2.4597093791281375
1.807,2.48476821192053
1.817,2.50996015936255
1.817,2.5226063829787235
1.817,2.5226063829787235
1.848,2.5352862849533953
1.848,2.5352862849533953
1.848,2.5352862849533953
1.867,2.599195710455764
1.867,2.6379542395693134
1.867,2.6120805369127518
1.877,2.6379542395693134
1.877,2.650943396226415
1.877,2.6379542395693134
1.897,2.6901217861975644
1.907,2.677027027027027
1.907,2.6901217861975644
1.907,2.6901217861975644
1.927,2.8230452674897117
1.965,3.128712871287129
1.966,3.114406779661017
1.966,3.0859154929577466
1.982,3.200854700854701
1.982,3.244635193133047
1.982,3.2154065620542083
2.002,3.27403156384505
2.012,3.3184438040345823
2.012,3.3333333333333335
2.012,3.3333333333333335
2.031,3.515418502202643
2.031,3.5
2.031,3.4846266471449487
2.041,3.5931952662721893
2.041,3.5931952662721893
2.041,3.561946902654867
2.061,3.704035874439462
2.061,3.6721311475409837
2.073,3.6880597014925374
2.085,3.8009049773755654
2.085,3.8009049773755654
2.085,3.8009049773755654
2.105,3.8009049773755654
2.105,3.85
2.105,3.85
2.134,3.882978723404255
2.211,3.6246290801186944
2.211,3.561946902654867
2.265,3.5
2.265,3.438775510204082
2.265,3.454014598540146
2.298,3.4084302325581395
2.298,3.393323657474601
2.298,3.423580786026201
2.318,3.244635193133047
2.356,2.98744769874477
2.356,2.9596662030598053
2.356,2.9596662030598053
2.376,2.8908839779005526
2.376,2.8772413793103446
2.376,2.8772413793103446
2.386,2.8230452674897117
2.386,2.8230452674897117
2.386,2.8365384615384617
2.406,2.7961696306429547
2.406,2.8095890410958906
2.406,2.8095890410958906
2.416,2.7961696306429547
2.416,2.8230452674897117
2.416,2.8095890410958906
2.435,2.7694406548431103
2.435,2.7694406548431103
2.435,2.7961696306429547
2.445,2.742857142857143
2.445,2.7694406548431103
2.445,2.7827868852459017
2.465,2.742857142857143
2.465,2.7694406548431103
2.465,2.7694406548431103
2.475,2.7561307901907357
2.475,2.716417910447761
2.475,2.7561307901907357
2.495,2.742857142857143
2.495,2.7561307901907357
2.495,2.7694406548431103
2.505,2.729619565217391
2.505,2.703252032520325
2.505,2.7561307901907357
2.525,2.6379542395693134
2.525,2.716417910447761
2.525,2.650943396226415
2.535,2.6639676113360324
2.535,2.6120805369127518
2.535,2.6901217861975644
2.554,2.650943396226415
2.554,2.6379542395693134
2.554,2.650943396226415
2.564,2.599195710455764
2.564,2.650943396226415
2.564,2.599195710455764
2.584,2.5863453815261046
2.584,2.573529411764706
2.584,2.625
2.594,2.599195710455764
2.594,2.5863453815261046
2.594,2.6120805369127518
2.614,2.5352862849533953
2.614,2.573529411764706
2.614,2.5352862849533953
2.624,2.5352862849533953
2.624,2.5863453815261046
2.624,2.548
2.643,2.573529411764706
2.643,2.5352862849533953
2.643,2.573529411764706
2.663,2.573529411764706
2.663,2.6120805369127518
2.663,2.573529411764706
2.673,2.599195710455764
2.685,2.573529411764706
2.685,2.5863453815261046
2.685,2.625
2.705,2.599195710455764
2.717,2.650943396226415
2.717,2.677027027027027
2.745,2.729619565217391
2.745,2.716417910447761
2.745,2.729619565217391
2.765,2.8230452674897117
2.765,2.8230452674897117
2.765,2.8095890410958906
2.778,2.8636363636363638
2.778,2.8230452674897117
2.778,2.8230452674897117
2.798,3.0013966480446927
2.798,3.0153846153846153
2.798,3.0153846153846153
2.807,3.0153846153846153
2.82,3.128712871287129
2.821,3.128712871287129
2.821,3.1001410437235544
2.84,3.2154065620542083
2.84,3.186344238975818
2.84,3.157446808510638
2.85,3.288793103448276
2.85,3.2593123209169055
2.85,3.2593123209169055
2.869,3.438775510204082
2.869,3.438775510204082
2.869,3.423580786026201
2.879,3.438775510204082
2.9,3.5308823529411764
2.9,3.561946902654867
2.9,3.5463917525773194
2.91,3.5308823529411764
2.91,3.6246290801186944
2.91,3.608888888888889
2.928,3.768421052631579
2.928,3.8009049773755654
2.928,3.7846385542168677
2.947,3.8009049773755654
2.947,3.8009049773755654
2.947,3.8009049773755654
2.957,3.833585476550681
2.957,3.768421052631579
2.957,3.85
2.972,3.8009049773755654
2.972,3.85
2.972,3.85
2.992,4.016923076923077
2.992,4.0
3.001,4.033898305084746
3.001,4.0
3.001,3.983128834355828
3.02,3.983128834355828
3.02,3.9663093415007658
3.02,3.8995433789954337
3.03,3.9663093415007658
3.03,3.9663093415007658
3.03,3.94954128440367
3.05,3.866464339908953
3.05,3.866464339908953
3.05,3.882978723404255
3.06,3.833585476550681
3.06,3.85
3.06,3.833585476550681
3.08,3.7846385542168677
3.08,3.720059880239521
3.08,3.7522522522522523
3.09,3.720059880239521
3.09,3.6721311475409837
3.09,3.704035874439462
3.11,3.640416047548291
3.11,3.65625
3.11,3.6721311475409837
3.135,3.469298245614035
3.135,3.515418502202643
3.135,3.5
3.155,3.454014598540146
3.155,3.515418502202643
3.155,3.454014598540146
3.165,3.515418502202643
3.165,3.454014598540146
3.165,3.515418502202643
3.185,3.423580786026201
3.185,3.4084302325581395
3.185,3.423580786026201
3.195,3.348265895953757
3.195,3.348265895953757
3.195,3.348265895953757
3.214,3.143059490084986
3.214,3.171875
3.214,3.143059490084986
3.224,3.0859154929577466
3.224,3.1001410437235544
3.242,3.0013966480446927
3.242,3.0434782608695654
3.242,3.0294117647058822
3.261,2.8908839779005526
3.261,2.918282548476454
3.261,2.9596662030598053
3.271,2.8772413793103446
3.271,2.8772413793103446
3.285,2.8500687757909215
3.286,2.8636363636363638
3.286,2.8095890410958906
3.305,2.7694406548431103
3.305,2.7827868852459017
3.305,2.7961696306429547
3.315,2.7694406548431103
3.315,2.7694406548431103
3.347,2.716417910447761
3.347,2.703252032520325
3.347,2.6901217861975644
3.367,2.6639676113360324
3.377,2.6379542395693134
3.377,2.650943396226415
3.377,2.5863453815261046
3.392,2.6379542395693134
3.392,2.6379542395693134
3.392,2.625
3.412,2.6379542395693134
3.412,2.625
3.412,2.599195710455764
3.422,2.625
3.422,2.625
3.422,2.6639676113360324
3.441,2.5863453815261046
3.457,2.560747663551402
3.457,2.599195710455764
3.457,2.548
3.467,2.560747663551402
3.467,2.573529411764706
3.467,2.573529411764706
3.487,2.50996015936255
3.487,2.5226063829787235
3.487,2.548
3.497,2.5352862849533953
3.497,2.50996015936255
3.497,2.560747663551402
3.516,2.548
3.516,2.5352862849533953
3.516,2.4973474801061006
3.526,2.5352862849533953
3.526,2.4973474801061006
3.526,2.548
3.545,2.560747663551402
3.561,2.560747663551402
3.561,2.5226063829787235
3.561,2.560747663551402
3.571,2.560747663551402
3.571,2.573529411764706
3.571,2.548
3.591,2.548
3.591,2.548
3.591,2.548
3.601,2.599195710455764
3.601,2.548
3.601,2.573529411764706
3.616,2.599195710455764
3.616,2.6120805369127518
3.616,2.625
3.636,2.650943396226415
3.636,2.6639676113360324
3.636,2.703252032520325
