1AA4A817-2392-34F8-E585-750D42354359_time (s),1AA4A817-2392-34F8-E585-750D42354359_raw_resistance
0.0,5963.125
0.02,4324.0
0.04,2624.166748046875
0.06,2781.294189453125
0.08,4761.10009765625
0.101,6821.71435546875
0.121,5295.33349609375
0.145,5963.125
0.165,5963.125
0.185,6821.71435546875
0.205,5963.125
0.225,5295.33349609375
0.245,5963.125
0.265,5295.33349609375
0.285,3959.75
0.305,3158.39990234375
0.325,3651.53857421875
0.345,5963.125
0.365,5295.33349609375
0.386,4761.10009765625
0.406,5963.125
0.426,5963.125
0.446,5295.33349609375
0.466,2483.578857421875
0.486,5963.125
0.506,4761.10009765625
0.526,3651.53857421875
0.546,5963.125
0.568,5963.125
0.588,4761.10009765625
0.608,4761.10009765625
0.628,5295.33349609375
0.648,5295.33349609375
0.668,2357.050048828125
0.688,5963.125
0.708,5963.125
0.731,4324.0
0.751,5963.125
0.771,3387.357177734375
0.811,5963.125
0.831,5963.125
0.851,6821.71435546875
0.871,6821.71435546875
0.891,2357.050048828125
0.911,4761.10009765625
0.931,2958.0625
0.951,3651.53857421875
0.971,5963.125
0.991,3387.357177734375
1.011,5295.33349609375
1.031,5963.125
1.051,5295.33349609375
1.071,5295.33349609375
1.091,2357.050048828125
1.111,4324.0
1.131,5295.33349609375
1.151,5963.125
1.171,3959.75
1.191,4761.10009765625
1.214,5963.125
1.234,5963.125
1.256,5963.125
1.276,2357.050048828125
1.296,3651.53857421875
1.316,3158.39990234375
1.336,5295.33349609375
1.356,5295.33349609375
1.376,5295.33349609375
1.396,4761.10009765625
1.416,3158.39990234375
1.436,4761.10009765625
1.456,5295.33349609375
1.476,3387.357177734375
1.497,2958.0625
1.517,4761.10009765625
1.537,5963.125
1.557,5963.125
1.577,4761.10009765625
1.597,5295.33349609375
1.617,4761.10009765625
1.637,2958.0625
1.657,6821.71435546875
1.677,5295.33349609375
1.697,2483.578857421875
1.717,5963.125
1.738,5295.33349609375
1.758,5295.33349609375
1.778,5963.125
1.798,5963.125
1.818,4324.0
1.838,2357.050048828125
1.858,2958.0625
1.878,3651.53857421875
1.898,2958.0625
1.918,5295.33349609375
1.938,4761.10009765625
1.958,4761.10009765625
1.978,5963.125
1.998,6821.71435546875
2.018,4761.10009765625
2.038,2483.578857421875
2.058,3387.357177734375
2.082,6821.71435546875
2.102,5295.33349609375
2.123,2781.294189453125
2.143,4761.10009765625
2.163,2624.166748046875
2.183,5963.125
2.206,5963.125
2.226,5963.125
2.25,4324.0
2.27,5295.33349609375
2.29,5963.125
2.31,6821.71435546875
2.33,2781.294189453125
2.35,4324.0
2.37,4761.10009765625
2.39,5295.33349609375
2.41,5963.125
2.43,2242.571533203125
2.45,5963.125
2.474,4324.0
2.494,2958.0625
2.516,4761.10009765625
2.536,4761.10009765625
2.556,5963.125
2.576,5963.125
2.596,5963.125
2.616,4761.10009765625
2.636,2781.294189453125
2.656,5963.125
2.676,5963.125
2.696,3959.75
2.716,4761.10009765625
2.736,2624.166748046875
2.756,4324.0
2.776,5295.33349609375
2.8,2958.0625
2.82,5295.33349609375
2.84,5295.33349609375
2.86,2781.294189453125
2.88,2357.050048828125
2.9,6821.71435546875
2.92,5295.33349609375
2.94,2781.294189453125
2.96,2781.294189453125
2.98,3158.39990234375
3.0,2357.050048828125
3.02,5963.125
3.04,4761.10009765625
3.06,5963.125
3.08,4324.0
3.1,3158.39990234375
3.12,5295.33349609375
3.14,3959.75
3.162,5295.33349609375
3.182,2958.0625
3.202,6821.71435546875
3.222,6821.71435546875
3.242,2357.050048828125
3.262,5295.33349609375
3.282,5963.125
3.302,2958.0625
3.322,6821.71435546875
3.342,2958.0625
3.362,6821.71435546875
3.382,2958.0625
3.402,5963.125
3.422,2357.050048828125
3.442,2958.0625
3.465,4761.10009765625
3.485,5963.125
3.505,5963.125
3.525,4761.10009765625
3.545,5963.125
3.565,2483.578857421875
3.585,2357.050048828125
3.605,5963.125
3.627,5295.33349609375
3.647,4761.10009765625
3.667,5963.125
3.687,5963.125
3.707,2483.578857421875
3.727,3651.53857421875
3.749,5295.33349609375
3.769,5295.33349609375
3.789,5295.33349609375
3.813,5295.33349609375
3.833,5295.33349609375
3.853,3158.39990234375
3.873,4761.10009765625
3.897,4324.0
3.917,5295.33349609375
3.937,2958.0625
3.96,4761.10009765625
3.98,4761.10009765625
4.002,2624.166748046875
4.022,5295.33349609375
4.042,2483.578857421875
4.062,5295.33349609375
4.082,2624.166748046875
4.105,5295.33349609375
4.125,2483.578857421875
4.145,4761.10009765625
4.167,2483.578857421875
4.187,5963.125
4.207,5963.125
4.227,5963.125
4.25,5963.125
4.27,5295.33349609375
4.29,2138.5
4.31,5295.33349609375
4.332,4761.10009765625
4.352,3959.75
4.372,3387.357177734375
4.395,5295.33349609375
4.415,5963.125
4.435,3959.75
4.455,2357.050048828125
4.475,5295.33349609375
4.495,4761.10009765625
4.515,4761.10009765625
4.535,3387.357177734375
4.557,5295.33349609375
4.577,5295.33349609375
4.597,3158.39990234375
4.617,5963.125
4.637,6821.71435546875
4.657,5963.125
4.677,5295.33349609375
4.697,5963.125
4.717,2357.050048828125
4.737,5295.33349609375
4.757,5295.33349609375
4.777,4324.0
4.797,2483.578857421875
4.818,5963.125
4.838,5295.33349609375
4.858,3158.39990234375
4.878,3651.53857421875
4.902,5295.33349609375
4.922,2624.166748046875
4.942,2242.571533203125
4.962,5963.125
4.982,4324.0
5.002,4324.0
5.023,2242.571533203125
5.043,5963.125
5.063,4761.10009765625
5.083,5963.125
5.103,4324.0
5.123,2958.0625
5.143,5295.33349609375
5.163,5295.33349609375
