1AA4A817-2392-34F8-E585-750D42354359_time (s),1AA4A817-2392-34F8-E585-750D42354359_raw_resistance,1AA4A817-2392-34F8-E585-750D42354359_calibrated_angle
0.0,10.30750846862793,-16.364081489607116
0.02,10.30750846862793,-16.364081489607116
0.04,10.375894546508789,-14.745263233616214
0.063,10.375894546508789,-14.745263233616214
0.083,10.30750846862793,-16.364081489607116
0.103,10.30750846862793,-16.364081489607116
0.123,10.375894546508789,-14.745263233616214
0.143,10.239285469055176,-17.979039396379278
0.163,10.239285469055176,-17.979039396379278
0.186,10.171224594116211,-19.590159529074413
0.206,10.171224594116211,-19.590159529074413
0.226,10.171224594116211,-19.590159529074413
0.246,10.30750846862793,-16.364081489607116
0.266,10.30750846862793,-16.364081489607116
0.286,10.30750846862793,-16.364081489607116
0.306,10.30750846862793,-16.364081489607116
0.326,10.375894546508789,-14.745263233616214
0.346,10.30750846862793,-16.364081489607116
0.366,10.375894546508789,-14.745263233616214
0.389,10.239285469055176,-17.979039396379278
0.409,10.30750846862793,-16.364081489607116
0.43,10.239285469055176,-17.979039396379278
0.45,10.30750846862793,-16.364081489607116
0.47,10.239285469055176,-17.979039396379278
0.49,10.30750846862793,-16.364081489607116
0.513,10.375894546508789,-14.745263233616214
0.533,10.44444465637207,-13.122562053265
0.553,10.171224594116211,-19.590159529074413
0.573,10.103325843811035,-21.197441887692463
0.597,10.30750846862793,-16.364081489607116
0.617,10.375894546508789,-14.745263233616214
0.637,10.375894546508789,-14.745263233616214
0.657,10.375894546508789,-14.745263233616214
0.677,10.239285469055176,-17.979039396379278
0.697,10.30750846862793,-16.364081489607116
0.719,10.30750846862793,-16.364081489607116
0.739,10.30750846862793,-16.364081489607116
0.759,10.375894546508789,-14.745263233616214
0.78,10.30750846862793,-16.364081489607116
0.8,10.30750846862793,-16.364081489607116
0.821,10.171224594116211,-19.590159529074413
0.841,10.239285469055176,-17.979039396379278
0.861,10.239285469055176,-17.979039396379278
0.881,10.30750846862793,-16.364081489607116
0.901,10.171224594116211,-19.590159529074413
0.921,10.30750846862793,-16.364081489607116
0.941,10.375894546508789,-14.745263233616214
0.961,10.30750846862793,-16.364081489607116
0.981,10.239285469055176,-17.979039396379278
1.001,10.30750846862793,-16.364081489607116
1.021,10.171224594116211,-19.590159529074413
1.041,10.239285469055176,-17.979039396379278
1.064,10.239285469055176,-17.979039396379278
1.084,10.375894546508789,-14.745263233616214
1.104,10.239285469055176,-17.979039396379278
1.124,10.239285469055176,-17.979039396379278
1.144,10.239285469055176,-17.979039396379278
1.164,10.375894546508789,-14.745263233616214
1.184,10.103325843811035,-21.197441887692463
1.204,10.103325843811035,-21.197441887692463
1.224,10.30750846862793,-16.364081489607116
1.244,10.239285469055176,-17.979039396379278
1.264,10.239285469055176,-17.979039396379278
1.284,10.30750846862793,-16.364081489607116
1.304,10.375894546508789,-14.745263233616214
1.324,10.239285469055176,-17.979039396379278
1.344,10.375894546508789,-14.745263233616214
1.364,10.375894546508789,-14.745263233616214
1.384,10.30750846862793,-16.364081489607116
1.404,10.375894546508789,-14.745263233616214
1.424,10.103325843811035,-21.197441887692463
1.447,10.375894546508789,-14.745263233616214
1.467,10.375894546508789,-14.745263233616214
1.487,10.30750846862793,-16.364081489607116
1.507,10.375894546508789,-14.745263233616214
1.527,10.30750846862793,-16.364081489607116
1.547,10.513157844543457,-11.496000523695102
1.567,10.859206199645996,-3.304429782183149
1.587,10.582036018371582,-9.865533494623236
1.607,10.789663314819336,-4.950631684970972
1.627,10.513157844543457,-11.496000523695102
1.647,10.789663314819336,-4.950631684970972
1.667,11.068840980529785,1.6579927005998911
1.687,11.209443092346191,4.986290981367006
1.707,11.279999732971191,6.656490259707368
1.727,11.068840980529785,1.6579927005998911
1.747,11.068840980529785,1.6579927005998911
1.769,10.375894546508789,-14.745263233616214
1.789,10.035587310791016,-22.800931622516686
1.81,9.833333015441895,-27.588645084226556
1.83,10.035587310791016,-22.800931622516686
1.85,10.103325843811035,-21.197441887692463
1.87,10.582036018371582,-9.865533494623236
1.89,10.928915977478027,-1.6542772296100452
1.91,11.42162799835205,10.00907939286816
1.93,11.922794342041016,21.87256464589467
1.95,12.286067008972168,30.471865020382722
1.973,12.579925537109375,37.428011136203
1.993,12.802238464355469,42.69054755181281
2.013,13.176470756530762,51.54928145391074
2.033,13.708333015441895,64.13939279057615
2.053,14.016497611999512,71.4341886059853
2.074,14.406129837036133,80.6574658951215
2.094,15.039999961853027,95.66228210593698
2.116,15.442856788635254,105.1986088840539
2.136,15.60546875,109.0479188584955
2.156,16.098424911499023,120.71705471723095
2.176,16.34782600402832,126.62081545569407
2.196,16.34782600402832,126.62081545569407
2.216,15.768929481506348,112.91732070898769
2.236,15.768929481506348,112.91732070898769
2.256,15.361867904663086,103.28146013142498
2.276,14.80077075958252,89.99930782809753
2.296,14.17175579071045,75.10942166331944
2.316,13.251879692077637,53.334343052863574
2.339,12.802238464355469,42.69054755181281
2.359,12.213054656982422,28.743534752345624
2.379,12.067567825317383,25.299606596150568
2.4,11.850672721862793,20.16531956013978
2.42,11.42162799835205,10.00907939286816
2.444,11.068840980529785,1.6579927005998911
2.464,11.209443092346191,4.986290981367006
2.484,11.068840980529785,1.6579927005998911
2.508,10.928915977478027,-1.6542772296100452
2.528,10.789663314819336,-4.950631684970972
2.548,10.513157844543457,-11.496000523695102
2.568,10.720288276672363,-6.592860362831971
2.588,10.651079177856445,-8.231160966049401
2.608,10.720288276672363,-6.592860362831971
2.628,10.582036018371582,-9.865533494623236
2.648,10.582036018371582,-9.865533494623236
2.668,10.651079177856445,-8.231160966049401
2.688,10.30750846862793,-16.364081489607116
2.708,10.513157844543457,-11.496000523695102
2.73,10.44444465637207,-13.122562053265
2.75,10.375894546508789,-14.745263233616214
2.771,10.239285469055176,-17.979039396379278
2.791,10.513157844543457,-11.496000523695102
2.811,10.44444465637207,-13.122562053265
2.831,10.651079177856445,-8.231160966049401
2.851,10.789663314819336,-4.950631684970972
2.871,11.350728034973145,8.330753063541067
2.891,11.563946723937988,13.378012928568921
2.911,11.63536548614502,15.068620134942591
2.931,12.14022159576416,27.019448610934887
2.954,12.50618839263916,35.682523760527204
2.974,12.876712799072266,44.45348551196844
2.994,13.251879692077637,53.334343052863574
3.015,13.327478408813477,55.123897105000765
3.035,14.32780647277832,78.80341466334795
3.055,14.563380241394043,84.37985842332034
3.075,15.361867904663086,103.28146013142498
3.095,15.768929481506348,112.91732070898769
3.115,16.098424911499023,120.71705471723095
3.135,16.599206924438477,132.57144218818064
3.155,16.76790428161621,136.56480414136217
3.175,16.51519203186035,130.58266251116032
3.195,16.34782600402832,126.62081545569407
3.215,15.933245658874512,116.80697246152181
3.239,15.687092781066895,110.98010265544991
3.259,14.880309104919434,91.88211979030746
3.279,14.406129837036133,80.6574658951215
3.299,13.708333015441895,64.13939279057615
3.319,12.876712799072266,44.45348551196844
3.339,12.579925537109375,37.428011136203
3.359,12.50618839263916,35.682523760527204
3.379,12.359259605407715,32.204461990187895
3.403,12.213054656982422,28.743534752345624
3.423,11.70695972442627,16.763381167376224
3.443,11.492700576782227,11.691491822830187
3.465,11.492700576782227,11.691491822830187
3.488,11.279999732971191,6.656490259707368
3.508,11.068840980529785,1.6579927005998911
3.528,11.068840980529785,1.6579927005998911
3.549,11.068840980529785,1.6579927005998911
3.569,11.068840980529785,1.6579927005998911
3.589,10.859206199645996,-3.304429782183149
3.609,10.859206199645996,-3.304429782183149
3.633,10.859206199645996,-3.304429782183149
3.653,10.720288276672363,-6.592860362831971
3.673,10.651079177856445,-8.231160966049401
3.696,10.651079177856445,-8.231160966049401
3.716,10.651079177856445,-8.231160966049401
3.736,10.651079177856445,-8.231160966049401
3.756,10.513157844543457,-11.496000523695102
3.779,10.239285469055176,-17.979039396379278
3.799,10.513157844543457,-11.496000523695102
3.819,10.651079177856445,-8.231160966049401
3.839,10.513157844543457,-11.496000523695102
3.859,10.998793601989746,-0.000151452110117134
3.879,11.139057159423828,3.32013265337838
3.899,11.068840980529785,1.6579927005998911
3.919,11.63536548614502,15.068620134942591
3.939,12.213054656982422,28.743534752345624
3.959,12.213054656982422,28.743534752345624
3.979,998.2391357421875,23369.708105417372
3.999,1021.4666748046875,23919.544642930523
4.019,13.176470756530762,51.54928145391074
4.039,13.78508186340332,65.9561724635189
4.059,14.17175579071045,75.10942166331944
4.079,15.120155334472656,97.55970018478143
4.099,15.524057388305664,107.12076931812459
4.119,16.18134117126465,122.67982783109375
4.139,16.76790428161621,136.56480414136217
4.159,17.02263641357422,142.5947599215359
4.179,17.53825569152832,154.8003714459623
4.199,17.27941131591797,148.67307165508078
4.219,17.625,156.8537611783272
4.239,17.53825569152832,154.8003714459623
4.262,16.852590560913086,138.56947671808985
4.282,16.683443069458008,134.56545929805907
4.302,16.34782600402832,126.62081545569407
4.326,15.768929481506348,112.91732070898769
4.346,15.039999961853027,95.66228210593698
4.366,14.24968147277832,76.95405906103338
4.386,13.555415153503418,60.51955913080161
4.409,13.101249694824219,49.76866715785894
4.429,12.432632446289062,33.941325661761084
4.449,12.50618839263916,35.682523760527204
4.473,11.995092391967773,23.583986132851066
4.494,11.778728485107422,18.46227345072805
4.514,11.778728485107422,18.46227345072805
4.534,11.778728485107422,18.46227345072805
4.554,11.63536548614502,15.068620134942591
4.574,11.139057159423828,3.32013265337838
4.594,11.42162799835205,10.00907939286816
4.614,10.998793601989746,-0.000151452110117134
4.634,10.928915977478027,-1.6542772296100452
4.655,11.139057159423828,3.32013265337838
4.675,11.068840980529785,1.6579927005998911
4.695,10.582036018371582,-9.865533494623236
4.715,10.859206199645996,-3.304429782183149
4.736,10.859206199645996,-3.304429782183149
4.756,10.720288276672363,-6.592860362831971
4.776,10.928915977478027,-1.6542772296100452
4.799,11.209443092346191,4.986290981367006
4.819,811.5892944335938,18951.379405319152
4.839,11.563946723937988,13.378012928568921
4.859,1185.84619140625,27810.69574607114
4.879,1670.1785888671875,39275.69200369459
4.899,2242.571533203125,52825.235662356965
4.919,2483.578857421875,58530.301201464674
4.939,1610.965576171875,37874.01626919219
4.959,1802.269287109375,42402.51021563485
4.983,2483.578857421875,58530.301201464674
5.003,1670.1785888671875,39275.69200369459
5.023,1504.0,35341.95370857442
5.043,2138.5,50361.68016833244
5.063,17.107999801635742,144.61546084882082
5.083,17.107999801635742,144.61546084882082
5.103,17.365461349487305,150.71002668433914
5.123,17.886640548706055,163.04725128446734
5.143,18.150405883789062,169.29103880615872
5.166,17.886640548706055,163.04725128446734
5.186,17.27941131591797,148.67307165508078
5.206,16.9375,140.57943187795894
5.229,16.51519203186035,130.58266251116032
5.249,15.933245658874512,116.80697246152181
5.269,14.960051536560059,93.76976283282619
5.289,14.24968147277832,76.95405906103338
5.309,13.6317777633667,62.327195871384276
5.329,13.101249694824219,49.76866715785894
5.349,12.65384578704834,39.17783293907172
5.369,12.213054656982422,28.743534752345624
5.389,12.359259605407715,32.204461990187895
5.409,12.067567825317383,25.299606596150568
5.43,11.70695972442627,16.763381167376224
5.45,11.63536548614502,15.068620134942591
5.47,11.70695972442627,16.763381167376224
5.494,11.42162799835205,10.00907939286816
5.514,11.492700576782227,11.691491822830187
5.536,11.350728034973145,8.330753063541067
5.556,11.279999732971191,6.656490259707368
5.576,10.998793601989746,-0.000151452110117134
5.596,10.998793601989746,-0.000151452110117134
5.616,10.998793601989746,-0.000151452110117134
5.639,10.859206199645996,-3.304429782183149
5.659,10.720288276672363,-6.592860362831971
5.68,11.068840980529785,1.6579927005998911
5.7,11.068840980529785,1.6579927005998911
5.72,11.209443092346191,4.986290981367006
5.74,1097.7857666015625,25726.15123465034
5.763,1252.4864501953125,29388.18740599108
5.783,1956.375,46050.462388216714
5.803,1956.375,46050.462388216714
5.826,1288.5833740234375,30242.664824331758
