92B24D2E-3966-09A9-9A5C-F8C5885B402C_time,92B24D2E-3966-09A9-9A5C-F8C5885B402C_raw,92B24D2E-3966-09A9-9A5C-F8C5885B402C_calibrated
3.121,13.327478408813477,9.205200870702171
3.141,13.403265953063965,9.6007826973091
3.165,13.251879692077637,8.810604651082485
3.185,13.403265953063965,9.6007826973091
3.205,13.327478408813477,9.205200870702171
3.225,13.327478408813477,9.205200870702171
3.245,13.251879692077637,8.810604651082485
3.265,13.403265953063965,9.6007826973091
3.285,13.403265953063965,9.6007826973091
3.305,13.403265953063965,9.6007826973091
3.325,13.47924518585205,9.99736506434246
3.345,13.026217460632324,7.632734611959833
3.365,13.101249694824219,8.024374010617834
3.385,13.403265953063965,9.6007826973091
3.405,13.403265953063965,9.6007826973091
3.425,13.403265953063965,9.6007826973091
3.445,13.101249694824219,8.024374010617834
3.465,13.403265953063965,9.6007826973091
3.485,13.251879692077637,8.810604651082485
3.505,13.101249694824219,8.024374010617834
3.525,13.026217460632324,7.632734611959833
3.545,12.951371192932129,7.242065886849858
3.565,13.101249694824219,8.024374010617834
3.585,13.47924518585205,9.99736506434246
3.605,13.403265953063965,9.6007826973091
3.625,13.327478408813477,9.205200870702171
3.645,13.47924518585205,9.99736506434246
3.665,13.403265953063965,9.6007826973091
3.685,13.327478408813477,9.205200870702171
3.705,13.327478408813477,9.205200870702171
3.725,13.403265953063965,9.6007826973091
3.745,13.327478408813477,9.205200870702171
3.765,13.101249694824219,8.024374010617834
3.785,13.026217460632324,7.632734611959833
3.805,13.251879692077637,8.810604651082485
3.825,13.176470756530762,8.416999016263077
3.845,13.251879692077637,8.810604651082485
3.865,13.251879692077637,8.810604651082485
3.885,13.327478408813477,9.205200870702171
3.905,13.176470756530762,8.416999016263077
3.925,13.251879692077637,8.810604651082485
3.945,13.327478408813477,9.205200870702171
3.965,13.327478408813477,9.205200870702171
3.985,13.176470756530762,8.416999016263077
4.005,13.101249694824219,8.024374010617834
4.025,13.327478408813477,9.205200870702171
4.045,13.251879692077637,8.810604651082485
4.065,13.176470756530762,8.416999016263077
4.085,13.251879692077637,8.810604651082485
4.105,12.951371192932129,7.242065886849858
4.125,13.026217460632324,7.632734611959833
4.145,13.101249694824219,8.024374010617834
4.165,13.251879692077637,8.810604651082485
4.186,13.251879692077637,8.810604651082485
4.206,13.327478408813477,9.205200870702171
4.226,13.403265953063965,9.6007826973091
4.246,13.251879692077637,8.810604651082485
4.266,13.251879692077637,8.810604651082485
4.286,13.327478408813477,9.205200870702171
4.306,13.327478408813477,9.205200870702171
4.326,13.327478408813477,9.205200870702171
4.346,13.327478408813477,9.205200870702171
4.366,13.327478408813477,9.205200870702171
4.386,13.327478408813477,9.205200870702171
4.406,13.251879692077637,8.810604651082485
4.426,13.251879692077637,8.810604651082485
4.446,13.251879692077637,8.810604651082485
4.466,13.101249694824219,8.024374010617834
4.488,13.176470756530762,8.416999016263077
4.508,13.176470756530762,8.416999016263077
4.528,13.026217460632324,7.632734611959833
4.55,13.176470756530762,8.416999016263077
4.57,13.327478408813477,9.205200870702171
4.593,13.251879692077637,8.810604651082485
4.613,13.251879692077637,8.810604651082485
4.633,13.327478408813477,9.205200870702171
4.653,13.327478408813477,9.205200870702171
4.673,13.251879692077637,8.810604651082485
4.693,13.251879692077637,8.810604651082485
4.713,13.251879692077637,8.810604651082485
4.733,13.327478408813477,9.205200870702171
4.753,13.251879692077637,8.810604651082485
4.773,13.251879692077637,8.810604651082485
4.793,13.176470756530762,8.416999016263077
4.817,13.327478408813477,9.205200870702171
4.837,13.403265953063965,9.6007826973091
4.857,13.176470756530762,8.416999016263077
4.877,13.176470756530762,8.416999016263077
4.897,13.101249694824219,8.024374010617834
4.917,12.951371192932129,7.242065886849858
4.937,13.327478408813477,9.205200870702171
4.957,13.251879692077637,8.810604651082485
4.977,13.327478408813477,9.205200870702171
4.999,13.176470756530762,8.416999016263077
5.019,13.327478408813477,9.205200870702171
5.039,13.327478408813477,9.205200870702171
5.059,13.026217460632324,7.632734611959833
5.079,13.251879692077637,8.810604651082485
5.099,13.327478408813477,9.205200870702171
5.119,13.251879692077637,8.810604651082485
5.139,13.176470756530762,8.416999016263077
5.159,13.251879692077637,8.810604651082485
5.179,13.251879692077637,8.810604651082485
5.2,13.251879692077637,8.810604651082485
5.221,13.327478408813477,9.205200870702171
5.241,13.251879692077637,8.810604651082485
5.263,13.251879692077637,8.810604651082485
5.283,13.176470756530762,8.416999016263077
5.303,13.251879692077637,8.810604651082485
5.323,12.951371192932129,7.242065886849858
5.345,13.176470756530762,8.416999016263077
5.365,13.327478408813477,9.205200870702171
5.385,13.176470756530762,8.416999016263077
5.405,13.327478408813477,9.205200870702171
5.425,13.251879692077637,8.810604651082485
5.445,13.026217460632324,7.632734611959833
5.465,12.951371192932129,7.242065886849858
5.485,13.251879692077637,8.810604651082485
5.505,13.176470756530762,8.416999016263077
5.525,13.251879692077637,8.810604651082485
5.545,13.251879692077637,8.810604651082485
5.565,13.251879692077637,8.810604651082485
5.585,13.251879692077637,8.810604651082485
5.605,13.251879692077637,8.810604651082485
5.625,13.251879692077637,8.810604651082485
5.648,13.403265953063965,9.6007826973091
5.668,13.327478408813477,9.205200870702171
5.688,13.101249694824219,8.024374010617834
5.711,13.176470756530762,8.416999016263077
5.731,13.176470756530762,8.416999016263077
5.751,13.026217460632324,7.632734611959833
5.771,12.951371192932129,7.242065886849858
5.791,12.951371192932129,7.242065886849858
5.811,13.176470756530762,8.416999016263077
5.831,13.026217460632324,7.632734611959833
5.851,13.251879692077637,8.810604651082485
5.871,13.251879692077637,8.810604651082485
5.891,13.176470756530762,8.416999016263077
5.911,13.251879692077637,8.810604651082485
5.931,13.403265953063965,9.6007826973091
5.951,12.951371192932129,7.242065886849858
5.971,13.176470756530762,8.416999016263077
