C4B0890D-F795-5936-5F56-28B4BC3AA9C8_time (s),C4B0890D-F795-5936-5F56-28B4BC3AA9C8_raw_resistance
5.792,40.739051818847656
5.803,40.739051818847656
5.804,40.899452209472656
5.823,40.5792350769043
5.823,40.5792350769043
5.833,40.26134490966797
5.833,39.63243103027344
5.869,40.41999816894531
5.869,40.41999816894531
5.879,40.5792350769043
5.879,41.06044006347656
5.896,45.820465087890625
5.897,48.588470458984375
5.908,54.22315979003906
5.909,54.651161193847656
5.928,57.980350494384766
5.928,58.9052848815918
5.938,61.78054428100586
5.938,64.81627655029297
5.957,65.07691955566406
5.958,70.55745697021484
5.972,89.20680236816406
5.972,101.85758209228516
5.982,110.12744903564453
5.982,102.78504943847656
5.991,125.33333587646484
6.001,130.42066955566406
6.001,271.4172058105469
6.018,298.9064636230469
6.019,350.3636474609375
6.033,267.2549133300781
6.033,294.0
6.043,284.5931091308594
6.043,247.9754638671875
6.063,303.9562072753906
6.063,120.52961730957031
6.073,98.69999694824219
6.073,92.36521911621094
6.089,91.56195831298828
6.09,85.09066009521484
6.109,86.93035888671875
6.109,85.82044219970703
6.119,79.86280059814453
6.119,74.11083221435547
6.135,75.65560913085938
6.136,69.70145416259766
6.166,69.13768005371094
6.166,67.75179290771484
6.186,64.55684661865234
6.193,61.2905387878418
6.214,60.32366180419922
6.214,51.124488830566406
6.224,51.72895431518555
6.224,46.0
6.243,45.463462829589844
6.243,44.93307876586914
6.253,43.718868255615234
6.253,42.7033576965332
6.271,43.3778190612793
6.303,43.208255767822266
6.303,41.874305725097656
6.313,41.54696273803711
6.313,41.710330963134766
6.33,41.710330963134766
6.331,41.874305725097656
6.347,42.03888702392578
6.348,41.710330963134766
6.359,41.54696273803711
6.36,42.03888702392578
6.379,41.54696273803711
6.379,42.536312103271484
6.389,41.874305725097656
6.389,41.710330963134766
6.404,42.536312103271484
6.405,43.03932571411133
6.424,43.54802322387695
6.424,42.871028900146484
6.434,43.890357971191406
6.434,43.54802322387695
6.464,44.0625
6.464,44.58285903930664
6.481,47.834320068359375
6.482,56.400001525878906
6.493,55.95717239379883
6.494,57.5239143371582
6.513,61.2905387878418
6.513,69.70145416259766
6.523,74.41666412353516
6.523,86.93035888671875
6.539,97.38739013671875
6.54,106.61341857910156
6.555,118.226806640625
6.556,134.43772888183594
6.571,271.4172058105469
6.572,261.2115478515625
6.586,322.8538513183594
6.586,532.2891845703125
6.606,301.4130554199219
6.613,317.25
6.634,277.8716125488281
6.634,253.50625610351562
6.644,230.9248504638672
6.644,220.11666870117188
6.659,211.5
6.66,208.75
6.675,203.421875
6.676,198.31121826171875
6.692,199.56922912597656
6.693,197.0659942626953
6.707,194.61306762695312
6.707,191.02474975585938
6.717,192.20895385742188
6.717,192.20895385742188
6.727,192.20895385742188
6.737,192.20895385742188
6.767,192.20895385742188
6.767,192.20895385742188
6.777,191.02474975585938
6.785,192.20895385742188
6.793,197.0659942626953
6.794,197.0659942626953
6.809,199.56922912597656
6.81,194.61306762695312
6.829,191.02474975585938
6.829,187.5414581298828
6.839,192.20895385742188
6.839,197.0659942626953
6.858,211.5
6.858,175.59722900390625
6.868,110.64262390136719
6.868,80.875
6.9,77.56217956542969
6.901,79.52894592285156
6.916,78.2109375
6.917,77.24031066894531
6.931,75.03299713134766
6.931,75.03299713134766
6.951,72.60447692871094
6.958,73.20249938964844
6.979,66.3985824584961
6.979,65.07691955566406
6.989,64.81627655029297
6.989,64.29861450195312
7.004,60.563758850097656
7.005,54.436710357666016
7.02,52.34090805053711
7.021,53.587867736816406
7.04,48.20989990234375
7.04,46.36116409301758
7.066,44.757633209228516
7.067,44.0625
7.081,43.54802322387695
7.081,42.36988830566406
7.101,42.20408248901367
7.107,42.36988830566406
7.128,42.03888702392578
7.128,41.38418960571289
7.138,41.22201919555664
7.138,40.899452209472656
7.158,40.739051818847656
7.158,40.739051818847656
7.168,40.899452209472656
7.168,40.41999816894531
7.188,40.41999816894531
7.188,40.899452209472656
7.198,40.41999816894531
7.198,40.899452209472656
7.218,41.54696273803711
7.218,41.38418960571289
7.228,41.06044006347656
7.228,41.22201919555664
7.248,41.54696273803711
7.248,46.180233001708984
7.258,52.13608169555664
7.258,56.62284469604492
7.278,57.5239143371582
7.278,57.75163269042969
7.288,62.0272102355957
7.288,63.531036376953125
7.308,65.60187530517578
7.308,71.42610931396484
7.318,88.82203674316406
7.318,97.38739013671875
7.338,120.52961730957031
7.338,100.94153594970703
7.364,115.98644256591797
7.365,137.9269256591797
7.384,257.31011962890625
7.384,286.8958435058594
7.394,289.23077392578125
7.394,328.6328125
7.409,280.0816345214844
7.41,303.9562072753906
7.425,294.0
7.426,301.4130554199219
7.441,138.64093017578125
7.442,96.52537536621094
7.456,89.20680236816406
7.456,88.82203674316406
7.476,81.21600341796875
7.482,72.90274047851562
7.499,76.6015396118164
7.5,75.65560913085938
7.515,76.92010498046875
7.516,67.75179290771484
7.531,71.42610931396484
7.532,68.30215454101562
7.546,68.30215454101562
7.546,65.33878326416016
7.573,64.29861450195312
7.574,59.60975646972656
7.589,51.32515335083008
7.59,48.588470458984375
7.605,44.93307876586914
7.606,44.58285903930664
7.621,43.890357971191406
7.622,42.871028900146484
7.635,42.20408248901367
7.636,42.536312103271484
7.664,42.536312103271484
7.665,42.20408248901367
7.68,41.874305725097656
7.681,41.38418960571289
7.7,41.710330963134766
7.7,41.710330963134766
7.71,41.54696273803711
7.71,42.20408248901367
7.729,41.54696273803711
7.729,41.54696273803711
7.739,42.20408248901367
7.739,42.36988830566406
7.759,42.536312103271484
7.759,42.7033576965332
7.769,42.536312103271484
7.769,43.890357971191406
7.789,43.890357971191406
7.789,43.3778190612793
7.799,44.0625
7.799,43.718868255615234
7.814,44.93307876586914
7.815,45.285987854003906
7.83,47.64763641357422
7.831,54.01050567626953
7.846,57.75163269042969
7.847,56.1781120300293
7.859,58.44078826904297
7.86,64.04157257080078
7.875,68.02631378173828
7.876,87.3044662475586
7.891,96.52537536621094
7.892,125.95323944091797
7.906,117.0989761352539
7.906,131.07777404785156
7.926,291.5986022949219
7.932,301.4130554199219
7.965,306.5367736816406
7.966,337.64801025390625
7.981,337.64801025390625
7.982,367.49139404296875
