C4B0890D-F795-5936-5F56-28B4BC3AA9C8_time (s),C4B0890D-F795-5936-5F56-28B4BC3AA9C8_raw_resistance
3.133,64.55684661865234
3.149,65.07691955566406
3.149,65.60187530517578
3.164,66.13176727294922
3.164,67.47856903076172
3.184,68.02631378173828
3.184,66.93601989746094
3.225,67.47856903076172
3.225,66.3985824584961
3.235,66.13176727294922
3.235,68.02631378173828
3.255,68.30215454101562
3.255,68.30215454101562
3.269,68.30215454101562
3.269,70.55745697021484
3.284,70.55745697021484
3.284,72.60447692871094
3.304,74.41666412353516
3.314,74.72405242919922
3.33,74.11083221435547
3.33,74.41666412353516
3.34,81.21600341796875
3.34,84.72876739501953
3.36,88.05899047851562
3.36,96.52537536621094
3.37,99.14286041259766
3.37,104.67507934570312
3.39,107.60128784179688
3.39,110.64262390136719
3.4,118.226806640625
3.4,120.52961730957031
3.42,122.2992935180664
3.42,124.71785736083984
3.43,140.81640625
3.43,153.33749389648438
3.45,155.8734130859375
3.45,314.51129150390625
3.46,157.60000610351562
3.46,161.14285278320312
3.528,208.75
3.528,334.5952453613281
3.536,331.5905456542969
3.536,334.5952453613281
3.556,360.4660949707031
3.556,350.3636474609375
3.566,340.75
3.566,357.0420227050781
3.586,394.1100769042969
3.586,363.94873046875
3.596,398.1944580078125
3.596,386.16217041015625
3.616,378.4955749511719
3.616,350.3636474609375
3.625,337.64801025390625
3.625,337.64801025390625
3.673,180.87203979492188
3.673,163.88157653808594
3.689,155.02101135253906
3.689,150.86419677734375
3.704,158.474365234375
3.704,158.474365234375
3.724,144.55776977539062
3.733,145.32400512695312
3.749,140.08560180664062
3.749,138.64093017578125
3.769,129.7683868408203
3.779,135.125
3.823,131.73977661132812
3.823,131.07777404785156
3.839,131.73977661132812
3.839,117.66095733642578
3.854,118.79655456542969
3.854,115.98644256591797
3.874,115.4358139038086
3.884,118.226806640625
3.9,116.54081726074219
3.9,109.10713958740234
3.91,106.12420654296875
3.91,104.67507934570312
3.93,103.72413635253906
3.93,101.39814758300781
3.94,103.25312805175781
3.94,97.8222885131836
3.96,96.52537536621094
3.96,94.83185577392578
3.97,96.09821319580078
3.97,89.20680236816406
3.99,88.05899047851562
3.99,82.59838104248047
4.008,82.59838104248047
4.008,77.88571166992188
4.016,77.88571166992188
4.016,77.24031066894531
4.052,77.56217956542969
4.062,77.88571166992188
4.082,77.88571166992188
4.124,81.55882263183594
4.139,80.19841003417969
4.159,74.11083221435547
4.159,73.80653381347656
4.185,72.01237487792969
4.195,72.01237487792969
4.215,70.55745697021484
4.225,70.55745697021484
4.245,70.84558868408203
4.259,70.84558868408203
4.274,71.1351318359375
4.294,71.42610931396484
4.294,68.57933044433594
4.32,69.13768005371094
4.33,68.30215454101562
4.35,68.57933044433594
4.36,66.66666412353516
4.38,66.66666412353516
4.422,68.30215454101562
4.438,68.30215454101562
4.454,69.70145416259766
4.469,69.41888427734375
4.489,66.93601989746094
4.489,67.20664978027344
4.514,67.75179290771484
4.534,66.93601989746094
4.564,65.07691955566406
4.564,64.55684661865234
4.589,63.277523040771484
4.604,63.531036376953125
4.618,64.29861450195312
4.634,63.78571319580078
4.649,64.29861450195312
4.669,64.29861450195312
4.669,63.78571319580078
4.723,63.78571319580078
4.739,64.04157257080078
4.753,64.04157257080078
4.769,63.78571319580078
4.784,64.29861450195312
4.804,65.07691955566406
4.804,64.81627655029297
4.834,65.07691955566406
4.834,64.81627655029297
4.86,65.86619567871094
4.87,66.13176727294922
4.89,67.20664978027344
4.9,66.93601989746094
4.92,66.13176727294922
4.95,65.86619567871094
4.96,66.93601989746094
4.98,68.02631378173828
5.022,69.98540496826172
5.038,69.41888427734375
5.054,71.42610931396484
5.069,71.42610931396484
5.089,73.5037612915039
5.089,73.5037612915039
5.115,72.30769348144531
5.133,72.90274047851562
5.141,73.20249938964844
5.161,72.90274047851562
5.171,75.34351348876953
5.191,75.65560913085938
5.2,86.18836212158203
5.22,86.18836212158203
5.23,84.01090240478516
5.25,84.01090240478516
5.26,85.09066009521484
5.28,86.18836212158203
5.28,95.25148010253906
5.324,94.83185577392578
5.324,102.78504943847656
5.339,101.39814758300781
5.339,106.12420654296875
5.359,104.67507934570312
5.369,110.12744903564453
5.385,110.64262390136719
5.385,118.226806640625
5.395,124.71785736083984
5.395,120.52961730957031
5.415,118.79655456542969
5.415,129.7683868408203
5.425,127.83999633789062
5.425,138.64093017578125
5.445,138.64093017578125
5.445,149.2489776611328
5.455,149.2489776611328
5.455,155.8734130859375
5.475,155.8734130859375
5.475,167.64732360839844
5.485,170.5610809326172
5.485,161.14285278320312
5.505,162.960693359375
5.505,178.73239135742188
5.515,177.6775665283203
5.515,168.60986328125
5.535,174.57142639160156
5.535,221.6089324951172
5.545,221.6089324951172
5.545,194.61306762695312
5.565,193.40499877929688
5.565,207.39682006835938
5.575,334.5952453613281
5.575,340.75
5.623,337.64801025390625
5.623,347.1065673828125
5.654,367.49139404296875
5.654,382.2946472167969
5.674,353.67498779296875
5.684,337.64801025390625
5.7,363.94873046875
5.7,357.0420227050781
5.71,374.7631530761719
5.71,371.09564208984375
5.73,320.0305480957031
5.73,320.0305480957031
5.74,296.4356994628906
5.74,227.74856567382812
5.76,181.95713806152344
5.76,181.95713806152344
5.77,155.8734130859375
