F8B3DD80-DBA7-FE75-3168-01C4AEF8A6D1_time (s),F8B3DD80-DBA7-FE75-3168-01C4AEF8A6D1_raw_resistance
0,1.335e-05
268435456,1.33e-05
268435456,1.35e-05
268435456,1.34e-05
503316480,1.34e-05
503316480,1.33e-05
503316480,1.34e-05
788529152,1.33e-05
788529152,1.335e-05
788529152,1.34e-05
1056964608,1.34e-05
1056964608,1.34e-05
1056964608,1.33e-05
1308622848,1.34e-05
1308622848,1.335e-05
1308622848,1.34e-05
1509949440,1.33e-05
1509949440,1.32e-05
1509949440,1.34e-05
1744830464,1.335e-05
1761607680,1.34e-05
1761607680,1.323e-05
2063597568,1.34e-05
2063597568,1.34e-05
2063597568,1.33e-05
2281701376,1.33e-05
2281701376,1.35e-05
2281701376,1.335e-05
2499805184,1.33e-05
2516582400,1.33e-05
2516582400,1.335e-05
2801795072,1.335e-05
2801795072,1.34e-05
2801795072,1.323e-05
3003121664,1.335e-05
3019898880,1.335e-05
3019898880,1.33e-05
3288334336,1.33e-05
3288334336,1.33e-05
3288334336,1.335e-05
-704577536,1.335e-05
-704577536,1.335e-05
-704577536,1.33e-05
-452919296,1.335e-05
-452919296,1.33e-05
-452919296,1.335e-05
-184483840,1.335e-05
-184483840,1.33e-05
-184483840,1.35e-05
33619968,1.35e-05
33619968,1.34e-05
33619968,1.33e-05
251723776,1.32e-05
251723776,1.323e-05
251723776,1.34e-05
738263040,1.34e-05
738263040,1.335e-05
738263040,1.323e-05
989921280,1.35e-05
989921280,1.35e-05
989921280,1.33e-05
1224802304,1.323e-05
1241579520,1.323e-05
1241579520,1.335e-05
1543569408,1.34e-05
1543569408,1.335e-05
1543569408,1.33e-05
1828782080,1.335e-05
1828782080,1.34e-05
1828782080,1.35e-05
2046885888,1.335e-05
2046885888,1.35e-05
2046885888,1.34e-05
2248212480,1.34e-05
2248212480,1.335e-05
2248212480,1.323e-05
2533425152,1.34e-05
2533425152,1.335e-05
2533425152,1.323e-05
2734751744,1.34e-05
2751528960,1.323e-05
2751528960,1.34e-05
3053518848,1.335e-05
3053518848,1.335e-05
3053518848,1.32e-05
3355508736,1.34e-05
3355508736,1.335e-05
3355508736,1.33e-05
-771620864,1.33e-05
-771620864,1.34e-05
-771620864,1.32e-05
-486408192,1.335e-05
-486408192,1.34e-05
-486408192,1.34e-05
-217972736,1.34e-05
-217972736,1.35e-05
-217972736,1.335e-05
-50200576,1.335e-05
-50200576,1.335e-05
-50200576,1.335e-05
302120960,1.33e-05
302120960,1.34e-05
302120960,1.34e-05
503447552,1.335e-05
503447552,1.335e-05
503447552,1.335e-05
755105792,1.335e-05
755105792,1.34e-05
755105792,1.34e-05
973209600,1.33e-05
973209600,1.335e-05
973209600,1.34e-05
1291976704,1.34e-05
1291976704,1.335e-05
1291976704,1.335e-05
1493303296,1.335e-05
1493303296,1.335e-05
1493303296,1.335e-05
1778515968,1.33e-05
1778515968,1.34e-05
1778515968,1.33e-05
1996619776,1.33e-05
1996619776,1.33e-05
1996619776,1.33e-05
2281832448,1.34e-05
2281832448,1.34e-05
2281832448,1.323e-05
2499936256,1.323e-05
2499936256,1.32e-05
2499936256,1.335e-05
2718040064,1.33e-05
2734817280,1.33e-05
2734817280,1.34e-05
3020029952,1.34e-05
3020029952,1.335e-05
3020029952,1.34e-05
3221356544,1.335e-05
3238133760,1.34e-05
3238133760,1.323e-05
-805109760,1.335e-05
-805109760,1.33e-05
-805109760,1.34e-05
-570228736,1.323e-05
-553451520,1.31e-05
-553451520,1.34e-05
-251461632,1.35e-05
-251461632,1.34e-05
-251461632,1.32e-05
-50135040,1.33e-05
-50135040,1.32e-05
-50135040,1.335e-05
235077632,1.335e-05
235077632,1.335e-05
235077632,1.33e-05
436404224,1.323e-05
453181440,1.32e-05
453181440,1.335e-05
738394112,1.335e-05
738394112,1.335e-05
738394112,1.335e-05
1006829568,1.335e-05
1006829568,1.34e-05
1006829568,1.34e-05
1241710592,1.34e-05
1241710592,1.34e-05
1241710592,1.34e-05
1443037184,1.34e-05
1459814400,1.34e-05
1459814400,1.335e-05
1778581504,1.335e-05
1778581504,1.34e-05
1778581504,1.335e-05
1979908096,1.335e-05
1979908096,1.33e-05
1979908096,1.34e-05
