F8B3DD80-DBA7-FE75-3168-01C4AEF8A6D1_time (s),F8B3DD80-DBA7-FE75-3168-01C4AEF8A6D1_raw_resistance
0.0,13.403265953063965
0.004,13.403265953063965
0.005,13.403265953063965
0.007,13.47924518585205
0.007,13.403265953063965
0.012,13.403265953063965
0.015,13.403265953063965
0.018,13.403265953063965
0.018,13.555415153503418
0.023,13.47924518585205
0.023,13.403265953063965
0.026,13.403265953063965
0.029,13.47924518585205
0.034,13.47924518585205
0.034,13.403265953063965
0.037,13.47924518585205
0.037,13.251879692077637
0.04,13.555415153503418
0.043,13.403265953063965
0.048,13.47924518585205
0.048,13.403265953063965
0.051,13.47924518585205
0.051,13.47924518585205
0.057,13.403265953063965
0.057,13.47924518585205
0.062,13.47924518585205
0.062,13.327478408813477
0.067,13.47924518585205
0.067,13.47924518585205
0.072,13.403265953063965
0.072,13.47924518585205
0.075,13.403265953063965
0.075,13.47924518585205
0.08,13.47924518585205
0.08,13.47924518585205
0.082,13.327478408813477
0.082,13.47924518585205
0.087,13.327478408813477
0.09,13.47924518585205
0.093,13.251879692077637
0.093,13.403265953063965
0.096,13.251879692077637
0.096,13.403265953063965
0.099,13.47924518585205
0.104,13.47924518585205
0.107,13.47924518585205
0.107,13.251879692077637
0.112,13.47924518585205
0.112,13.251879692077637
0.117,13.327478408813477
0.117,13.47924518585205
0.12,13.47924518585205
0.12,13.327478408813477
0.123,13.327478408813477
0.123,13.403265953063965
0.126,13.47924518585205
0.126,13.555415153503418
0.129,13.47924518585205
0.134,13.403265953063965
0.137,13.251879692077637
0.137,13.403265953063965
0.14,13.403265953063965
0.14,13.403265953063965
0.143,13.47924518585205
0.143,13.327478408813477
0.148,13.555415153503418
0.148,13.47924518585205
0.154,13.555415153503418
0.154,13.6317777633667
0.157,13.555415153503418
0.157,13.47924518585205
0.162,13.555415153503418
0.165,13.555415153503418
0.17,13.6317777633667
0.17,13.6317777633667
0.172,13.6317777633667
0.172,13.555415153503418
0.175,13.708333015441895
0.178,13.862025260925293
0.183,13.708333015441895
0.183,13.708333015441895
0.186,13.78508186340332
0.186,13.78508186340332
0.192,14.016497611999512
0.192,14.016497611999512
0.197,13.862025260925293
0.197,13.939163208007812
0.202,14.094027519226074
0.202,14.094027519226074
0.205,14.094027519226074
0.205,14.094027519226074
0.208,14.016497611999512
0.208,14.016497611999512
0.215,13.6317777633667
0.215,13.862025260925293
0.22,13.708333015441895
0.22,13.78508186340332
0.227,13.6317777633667
0.227,13.708333015441895
0.232,13.708333015441895
0.232,13.862025260925293
0.235,13.708333015441895
0.241,13.708333015441895
0.246,13.862025260925293
0.246,13.939163208007812
0.249,13.862025260925293
0.249,13.939163208007812
0.252,13.939163208007812
0.255,13.78508186340332
0.26,13.78508186340332
0.26,13.708333015441895
0.265,13.708333015441895
0.265,13.862025260925293
0.268,13.862025260925293
0.271,13.78508186340332
0.276,13.78508186340332
0.276,13.939163208007812
0.279,13.78508186340332
