F8B3DD80-DBA7-FE75-3168-01C4AEF8A6D1_time (s),F8B3DD80-DBA7-FE75-3168-01C4AEF8A6D1_raw_resistance
0.0,17.02263641357422
0.005,16.683443069458008
0.007,16.76790428161621
0.007,16.76790428161621
0.009,16.852590560913086
0.01,16.683443069458008
0.015,16.852590560913086
0.02,17.02263641357422
0.022,16.9375
0.023,16.51519203186035
0.028,16.9375
0.033,16.9375
0.043,16.9375
0.048,16.852590560913086
0.049,16.9375
0.05,16.9375
0.051,16.9375
0.052,16.852590560913086
0.06,16.852590560913086
0.065,16.683443069458008
0.07,16.51519203186035
0.071,16.76790428161621
0.072,16.76790428161621
0.073,16.76790428161621
0.075,16.9375
0.078,16.76790428161621
0.079,16.431398391723633
0.08,16.683443069458008
0.082,16.76790428161621
0.083,16.76790428161621
0.094,16.51519203186035
0.097,16.599206924438477
0.099,16.431398391723633
0.101,16.51519203186035
0.103,16.683443069458008
0.104,16.683443069458008
0.105,16.683443069458008
0.11,16.683443069458008
0.112,16.683443069458008
0.112,16.683443069458008
0.114,16.51519203186035
0.115,16.76790428161621
0.119,16.683443069458008
0.12,16.599206924438477
0.123,16.683443069458008
0.124,16.76790428161621
0.125,16.599206924438477
0.127,16.34782600402832
0.132,16.683443069458008
0.136,16.599206924438477
0.138,16.599206924438477
0.139,16.683443069458008
0.14,16.26447296142578
0.141,16.683443069458008
0.155,16.683443069458008
0.156,16.76790428161621
0.176,16.599206924438477
0.179,16.683443069458008
0.2,16.599206924438477
0.202,16.599206924438477
0.207,16.683443069458008
0.208,16.431398391723633
0.21,16.51519203186035
0.215,16.51519203186035
0.22,16.683443069458008
0.223,16.599206924438477
0.224,16.599206924438477
0.229,16.34782600402832
0.23,16.431398391723633
0.231,16.51519203186035
0.233,16.34782600402832
0.234,16.599206924438477
0.239,16.51519203186035
0.24,16.76790428161621
0.243,16.683443069458008
0.243,16.599206924438477
0.245,16.76790428161621
0.246,16.76790428161621
0.247,16.852590560913086
0.249,16.683443069458008
0.257,16.51519203186035
0.262,16.51519203186035
0.267,16.51519203186035
0.272,16.76790428161621
0.272,16.599206924438477
0.277,16.683443069458008
0.278,16.599206924438477
0.28,16.51519203186035
0.288,16.683443069458008
0.293,16.852590560913086
0.298,16.51519203186035
0.302,16.599206924438477
0.303,16.431398391723633
0.305,16.431398391723633
0.31,16.51519203186035
0.313,16.683443069458008
0.315,16.76790428161621
0.32,16.26447296142578
0.325,16.34782600402832
0.328,16.599206924438477
0.329,16.51519203186035
0.33,16.51519203186035
0.333,16.683443069458008
0.334,16.18134117126465
0.336,16.34782600402832
0.337,16.51519203186035
0.342,16.599206924438477
0.347,16.683443069458008
0.349,16.51519203186035
0.349,16.51519203186035
0.351,16.51519203186035
0.352,16.683443069458008
0.362,16.599206924438477
0.367,16.852590560913086
0.372,16.431398391723633
0.377,16.599206924438477
0.379,16.599206924438477
0.381,16.431398391723633
0.386,16.51519203186035
0.389,16.51519203186035
0.391,16.683443069458008
0.392,16.599206924438477
0.397,16.431398391723633
0.398,16.599206924438477
0.408,16.599206924438477
0.412,16.76790428161621
0.414,16.76790428161621
0.415,16.599206924438477
0.416,16.51519203186035
0.417,16.51519203186035
0.419,16.683443069458008
0.424,16.76790428161621
0.426,16.76790428161621
0.427,16.683443069458008
0.432,16.76790428161621
0.437,16.76790428161621
0.439,16.852590560913086
0.44,16.683443069458008
0.445,16.852590560913086
0.448,16.852590560913086
0.45,16.76790428161621
0.455,16.683443069458008
0.457,16.852590560913086
0.458,16.9375
0.463,16.683443069458008
0.468,16.9375
0.473,16.683443069458008
0.473,16.683443069458008
0.475,16.852590560913086
0.476,16.76790428161621
0.477,16.852590560913086
0.482,16.852590560913086
0.484,16.51519203186035
0.484,16.852590560913086
0.486,16.852590560913086
0.487,16.683443069458008
0.497,16.852590560913086
0.498,16.599206924438477
0.503,16.76790428161621
