92B24D2E-3966-09A9-9A5C-F8C5885B402C_time (s),92B24D2E-3966-09A9-9A5C-F8C5885B402C_raw_resistance,92B24D2E-3966-09A9-9A5C-F8C5885B402C_calibrated_angle
6.94,20.15223503112793,59.1216529853823
6.96,19.77916717529297,56.36874586166368
6.981,18.774282455444336,48.95359534542334
7.001,18.505449295043945,46.96984705196164
7.021,18.32744598388672,45.65634181245633
7.064,17.799190521240234,41.75828894213316
7.084,17.107999801635742,36.65791959621673
7.104,16.599206924438477,32.9034832001921
7.124,16.26447296142578,30.433445921676565
7.146,16.098424911499023,29.208159817892877
7.166,16.18134117126465,29.820007659004844
7.186,15.850980758666992,27.382243271077954
7.206,15.442856788635254,24.37065337693889
7.226,15.60546875,25.570584220192515
7.246,15.039999961853027,21.39793028932428
7.266,14.563380241394043,17.880903016042495
7.286,14.563380241394043,17.880903016042495
7.306,14.24968147277832,15.566086659400895
7.326,13.939163208007812,13.274739576660977
7.346,13.78508186340332,12.137757055761355
7.366,13.708333015441895,11.571419197954398
7.386,13.862025260925293,12.70553051533021
7.409,14.016497611999512,13.845398314280715
7.429,14.406129837036133,16.720535668403656
7.449,14.80077075958252,19.632632730632054
7.469,15.039999961853027,21.39793028932428
7.489,15.524057388305664,24.96984118094467
7.509,16.098424911499023,29.208159817892877
7.529,16.51519203186035,32.283528431483504
7.549,17.45174217224121,39.19443086611918
7.569,17.625,40.47291868225571
7.589,17.193592071533203,37.28951399881839
7.609,18.238805770874023,45.002256315584845
7.629,18.505449295043945,46.96984705196164
7.649,18.505449295043945,46.96984705196164
7.669,18.95473289489746,50.28515820316903
7.689,19.686546325683594,55.68528682678152
7.709,19.965181350708008,57.74136411489437
7.73,21.296875,67.56807224964336
7.75,22.08189582824707,73.36082388060905
7.77,22.78374481201172,78.53984168383442
7.79,24.020679473876953,87.66731323884738
7.81,23.603525161743164,84.58908749626002
7.83,23.707353591918945,85.35524845224941
7.85,23.915929794311523,86.89435428627957
7.87,23.396778106689453,83.06347913369717
7.89,21.883955001831055,71.90019760956292
7.911,20.9110164642334,64.72078134734318
7.931,21.1033992767334,66.14039444648557
7.951,21.58915901184082,69.72486685352263
7.971,21.394025802612305,68.2849582863345
7.991,20.529495239257812,61.90549591961721
8.011,19.686546325683594,55.68528682678152
8.031,19.686546325683594,55.68528682678152
8.051,19.227272033691406,52.29625330274229
8.075,18.238805770874023,45.002256315584845
8.099,18.41632652282715,46.31220069973955
8.119,18.505449295043945,46.96984705196164
8.139,18.062246322631836,43.699405493077194
8.159,17.886640548706055,42.40359193410828
8.179,17.27941131591797,37.922783270142276
8.199,16.852590560913086,34.77322782432627
8.219,16.51519203186035,32.283528431483504
8.239,16.098424911499023,29.208159817892877
8.259,15.687092781066895,26.1728965692095
8.279,15.524057388305664,24.96984118094467
8.3,14.721437454223633,19.047223888635116
8.32,14.64230728149414,18.463313983771926
8.34,14.484654426574707,17.29997691091974
8.36,14.17175579071045,14.99106481838713
8.38,14.563380241394043,17.880903016042495
8.4,15.039999961853027,21.39793028932428
8.421,15.200517654418945,22.582407301846843
8.441,15.442856788635254,24.37065337693889
8.465,15.850980758666992,27.382243271077954
8.485,16.34782600402832,31.048516829489273
8.505,17.193592071533203,37.28951399881839
8.525,17.625,40.47291868225571
8.545,18.150405883789062,44.34994420912514
8.565,18.505449295043945,46.96984705196164
8.585,19.59418296813965,55.00372785305481
8.605,20.340335845947266,60.509668771235766
8.625,20.62447166442871,62.606336995440046
8.645,21.883955001831055,71.90019760956292
8.665,22.78374481201172,78.53984168383442
8.685,23.191240310668945,81.54679402130145
8.705,24.231111526489258,89.22011358772389
8.725,24.655736923217773,92.35346925287374
8.745,24.9775447845459,94.72812346138522
8.765,24.231111526489258,89.22011358772389
8.785,22.68260955810547,77.79355396007841
8.805,21.491453170776367,69.0038851294519
8.825,21.982784271240234,72.62946923008226
8.845,21.58915901184082,69.72486685352263
8.866,20.9110164642334,64.72078134734318
8.886,20.71971893310547,63.30917665410789
8.906,20.434782028198242,61.20659712853106
