F8B3DD80-DBA7-FE75-3168-01C4AEF8A6D1_time (s),F8B3DD80-DBA7-FE75-3168-01C4AEF8A6D1_raw_resistance
0.0,14.24968147277832
0.01,14.17175579071045
0.01,14.17175579071045
0.01,14.094027519226074
0.03,14.17175579071045
0.03,14.406129837036133
0.03,14.32780647277832
0.04,14.17175579071045
0.04,14.24968147277832
0.04,14.17175579071045
0.06,14.32780647277832
0.06,14.24968147277832
0.06,14.32780647277832
0.07,14.24968147277832
0.07,14.32780647277832
0.091,14.24968147277832
0.091,14.32780647277832
0.091,14.24968147277832
0.101,14.17175579071045
0.101,14.17175579071045
0.101,14.24968147277832
0.116,14.24968147277832
0.116,14.32780647277832
0.116,14.17175579071045
0.132,14.406129837036133
0.132,14.016497611999512
0.132,14.32780647277832
0.152,14.32780647277832
0.152,14.406129837036133
0.152,14.406129837036133
0.162,14.17175579071045
0.162,14.484654426574707
0.162,14.484654426574707
0.181,14.24968147277832
0.181,14.406129837036133
0.181,14.484654426574707
0.191,14.484654426574707
0.191,14.484654426574707
0.191,14.484654426574707
0.21,14.484654426574707
0.21,14.484654426574707
0.21,14.406129837036133
0.22,14.880309104919434
0.22,14.80077075958252
0.22,14.80077075958252
0.24,15.361867904663086
0.24,15.524057388305664
0.24,15.442856788635254
0.25,15.442856788635254
0.25,15.687092781066895
0.25,15.442856788635254
0.27,15.687092781066895
0.27,15.60546875
0.27,15.687092781066895
0.28,15.768929481506348
0.28,15.850980758666992
0.28,15.687092781066895
0.296,15.687092781066895
0.296,15.524057388305664
0.296,15.687092781066895
0.316,15.442856788635254
0.316,15.442856788635254
0.316,15.361867904663086
0.326,15.768929481506348
0.326,15.687092781066895
0.326,15.768929481506348
0.341,15.768929481506348
0.341,15.850980758666992
0.341,15.687092781066895
0.357,15.768929481506348
0.357,15.768929481506348
0.357,15.933245658874512
0.377,15.60546875
0.377,15.850980758666992
0.377,15.768929481506348
0.387,15.850980758666992
0.387,16.015727996826172
0.387,15.850980758666992
0.407,16.34782600402832
0.417,16.431398391723633
0.417,16.51519203186035
0.417,16.431398391723633
0.436,16.683443069458008
0.436,16.599206924438477
0.436,16.599206924438477
0.446,16.51519203186035
0.446,16.599206924438477
0.446,16.599206924438477
0.461,16.852590560913086
0.461,16.599206924438477
0.461,16.76790428161621
0.481,17.365461349487305
0.481,17.27941131591797
0.481,17.27941131591797
0.491,17.625
0.491,17.625
0.491,17.625
0.506,17.886640548706055
0.506,17.886640548706055
0.507,17.886640548706055
0.526,18.238805770874023
0.526,18.32744598388672
0.526,18.41632652282715
0.536,18.594816207885742
0.536,18.41632652282715
0.536,18.41632652282715
0.555,19.045330047607422
